trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,5,-20.299858657366173,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-137.7492135987977,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",30,0,-133.93345320838966,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-123.47626277255289,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-82.88678764867825,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,1,-96.01547306235128,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-88.41508244175388,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,17,-13.311898564736678,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-94.2835208722558,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-64.05432165182998,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,4,-50.406493212222614,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,12,-41.34073907801388,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,9,-19.811814434714233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,8,-60.70328517644562,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-40.5629057072075,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,17,-24.124002257852638,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,14,-55.83005393114745,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",30,6,-125.24279692055936,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 3}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,10.514755929511942,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,0,-106.08720681732245,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,3,5.991620783447973,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,0,-211.96105972700502,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",35,0,-36.23870507900156,"{0: 28, 1: 1, 2: 5, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-15.385807463753855,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",25,19,3.5452109677205526,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-23.022534507120128,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-93.51386795780894,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,3,2.726075563283459,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,0,5.79509050116729,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,14,0.2850398639338363,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-45.23379652176461,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,-32.46981084616643,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-87.50604623047147,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-72.50164473758443,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,8,-33.41065205854579,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,0,2.309420056361155,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-17.135922874222672,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,9,-7.666310936982437,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-37.07306846904687,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,12,-10.754956480282043,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,0,-14.381316242179846,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,3,-97.83680508567278,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,0,-79.30850905428358,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,9,-4.731946694978134,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,5,-71.64820368176365,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-140.3547725136899,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.418951549247639}",30,18,23.50250487226918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,0,25.549831784189127,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,0,-18.677246408379762,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,-68.53186831930756,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,-125.51103633501548,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-4.552741413204658,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,-30.952427608624312,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,5,-9.346651557170556,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,2,-40.79867256671821,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,4,-15.137055467752612,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,12,-101.07182504523159,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,9,-7.840132854090219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,8,-26.81349382566301,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,12,-29.646411943863807,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",30,6,-26.840806556887443,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,8,-22.557196523383734,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,14,20.153942826111308,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,0,-48.30461989564099,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,4.908506535887127,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,9,-27.702765285410397,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,14,10.866886970656113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",30,13,5.187727020683378,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",30,11,-17.928469872472363,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",35,12,17.591273398308417,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",35,10,-123.85651795271657,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,0,-101.15752252762782,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,1,39.391340308564374,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,23.684860666003683,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,0,-52.557459004859346,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,13,-81.84553725538402,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-38.7893450753236,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
